Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,Gender,Grades,Sleep_Group,Total_Active_Hours,Social_Share,Study_to_Sleep_Ratio,Physical_to_Study_Ratio,Lifestyle_Balance,Lifestyle_Balance_Score
29,5.3,1.1,9.5,1.4,6.7,Low,Female,6.98,>= 7 hours,14.5,0.09655172413793103,0.5578947368421052,1.2641509433962266,2.8040149785619906,0.26288014259555414
30,9.9,1.0,8.4,3.6,1.1,High,Female,8.12,>= 7 hours,15.6,0.23076923076923078,1.1785714285714286,0.11111111111111112,4.176920715870325,0.19316502123248833
31,6.2,2.9,6.8,3.8,4.3,Moderate,Male,7.62,< 7 hours,17.2,0.22093023255813954,0.911764705882353,0.6935483870967741,1.392838827718412,0.4179136465089488
32,5.5,3.3,6.6,1.1,7.5,Low,Male,8.15,< 7 hours,17.4,0.06321839080459771,0.8333333333333334,1.3636363636363635,2.763451947595012,0.26571350290231227
33,5.2,2.4,8.4,0.1,7.9,Low,Female,6.18,>= 7 hours,15.6,0.006410256410256411,0.6190476190476191,1.5192307692307692,3.385262175962151,0.2280365368988673
34,8.2,0.7,8.5,2.3,4.3,High,Female,8.1,>= 7 hours,15.5,0.14838709677419354,0.9647058823529411,0.524390243902439,3.237668914512415,0.23597879404296493
35,9.7,0.6,6.7,0.7,6.3,High,Female,9.05,< 7 hours,17.299999999999997,0.04046242774566475,1.4477611940298507,0.6494845360824743,4.464956140135459,0.18298408520717116
36,9.1,2.2,7.6,1.2,3.9,High,Male,7.8,>= 7 hours,16.4,0.07317073170731708,1.1973684210526316,0.4285714285714286,3.514730904825195,0.22149714370157328
37,5.5,3.6,9.5,3.4,2.0,Low,Female,6.45,>= 7 hours,14.5,0.23448275862068965,0.5789473684210527,0.36363636363636365,1.438459824488215,0.41009492547611703
38,8.6,3.6,9.4,1.9,0.5,High,Male,7.58,>= 7 hours,14.6,0.13013698630136986,0.9148936170212765,0.05813953488372093,3.535062469980787,0.2205041290212341
39,8.2,0.3,5.8,5.4,4.3,High,Male,8.22,< 7 hours,18.2,0.29670329670329676,1.4137931034482758,0.524390243902439,3.2746501085357704,0.23393727547505355
40,5.0,0.6,7.7,4.2,6.5,Low,Male,6.52,>= 7 hours,16.3,0.25766871165644173,0.6493506493506493,1.3,2.50516133878306,0.2852935723487082
41,8.3,0.9,8.6,1.4,4.8,High,Male,8.7,>= 7 hours,15.400000000000002,0.09090909090909088,0.9651162790697676,0.5783132530120482,3.435597958628648,0.22544874655618463
42,8.2,3.4,8.3,2.3,1.8,High,Male,7.68,>= 7 hours,15.7,0.1464968152866242,0.9879518072289155,0.21951219512195125,2.927313899578702,0.25462696019976244
43,5.5,1.5,6.3,1.5,9.2,Low,Female,7.02,< 7 hours,17.7,0.08474576271186442,0.873015873015873,1.6727272727272726,3.6998873856736054,0.2127710555466163
44,9.5,2.5,9.0,1.5,1.5,High,Female,8.72,>= 7 hours,15.0,0.1,1.0555555555555556,0.15789473684210525,3.8622100754188224,0.2056677898504543
45,7.9,2.0,6.0,4.3,3.8,Moderate,Female,7.42,< 7 hours,18.0,0.23888888888888887,1.3166666666666667,0.48101265822784806,2.4725155880870267,0.28797566911741057
46,9.7,3.8,9.6,0.3,0.6,High,Female,8.88,>= 7 hours,14.4,0.020833333333333332,1.0104166666666667,0.061855670103092786,4.364248694410834,0.18641939570063726
47,5.1,3.7,7.1,5.8,2.3,Low,Female,6.5,>= 7 hours,16.900000000000002,0.34319526627218927,0.7183098591549295,0.45098039215686275,1.5521490478258415,0.3918266454115966
48,9.3,1.3,5.8,3.3,4.3,High,Male,7.72,< 7 hours,18.200000000000003,0.18131868131868129,1.6034482758620692,0.4623655913978494,3.403429642777023,0.22709571427814385
49,9.7,2.8,7.9,0.3,3.3,High,Female,8.68,>= 7 hours,16.1,0.018633540372670804,1.2278481012658227,0.3402061855670103,4.004476661604277,0.19982109371640705
50,9.4,3.0,8.5,2.2,0.9,High,Female,7.95,>= 7 hours,15.500000000000002,0.14193548387096774,1.1058823529411765,0.09574468085106383,3.783627007691606,0.20904639897552577
51,6.8,1.2,9.0,4.9,2.1,Moderate,Male,7.8,>= 7 hours,15.0,0.3266666666666667,0.7555555555555555,0.3088235294117647,2.572288216096063,0.2799326200764504
52,9.0,2.6,8.5,3.1,0.8,High,Female,10.0,>= 7 hours,15.5,0.2,1.0588235294117647,0.08888888888888889,3.5565666965019322,0.21946348349683945
53,9.5,1.4,6.9,0.6,5.6,High,Male,8.32,< 7 hours,17.1,0.03508771929824561,1.3768115942028984,0.5894736842105263,4.1161268202036725,0.19546036193844588
54,7.3,2.2,6.4,3.5,4.6,Moderate,Female,7.78,< 7 hours,17.6,0.19886363636363635,1.140625,0.6301369863013698,2.1679483388678795,0.31566171320753517
55,5.2,0.1,9.1,2.2,7.4,Low,Male,6.98,>= 7 hours,14.9,0.1476510067114094,0.5714285714285715,1.4230769230769231,3.2221886971436047,0.2368439858399792
56,8.8,0.9,8.1,0.5,5.7,High,Female,7.75,>= 7 hours,15.900000000000002,0.03144654088050314,1.08641975308642,0.6477272727272727,3.991136012048032,0.20035518919663065
57,5.3,2.1,7.7,3.8,5.1,Low,Female,5.98,>= 7 hours,16.299999999999997,0.23312883435582826,0.6883116883116883,0.9622641509433962,1.475070619778366,0.40402887578599533
58,9.0,1.1,7.2,0.5,6.2,High,Male,8.48,>= 7 hours,16.8,0.02976190476190476,1.25,0.6888888888888889,4.096339829652808,0.19621925409713617
59,5.1,3.9,9.2,4.0,1.8,Low,Male,6.3,>= 7 hours,14.8,0.27027027027027023,0.5543478260869565,0.35294117647058826,1.3784048752090219,0.42044986134335804
60,5.8,1.0,7.7,4.3,5.2,Low,Male,7.0,>= 7 hours,16.3,0.26380368098159507,0.7532467532467532,0.896551724137931,2.1406774628607645,0.3184026414126349
61,8.3,1.1,9.8,3.5,1.3,High,Male,9.18,>= 7 hours,14.200000000000001,0.2464788732394366,0.8469387755102041,0.1566265060240964,3.3481338085566414,0.22998372267939682
62,7.1,1.0,6.8,4.5,4.6,Moderate,Male,8.18,< 7 hours,17.2,0.2616279069767442,1.0441176470588236,0.647887323943662,2.5073226092121983,0.2851177697122696
63,5.1,0.5,5.2,0.2,13.0,High,Male,7.12,< 7 hours,18.8,0.010638297872340425,0.9807692307692306,2.5490196078431375,5.970482950873126,0.14346208247661513
64,7.4,0.4,7.5,2.8,5.9,Moderate,Male,8.15,>= 7 hours,16.5,0.16969696969696968,0.9866666666666667,0.7972972972972973,3.136213215540891,0.24176703373093167
65,5.9,1.7,7.0,3.7,5.7,Low,Male,7.0,>= 7 hours,17.0,0.21764705882352942,0.8428571428571429,0.9661016949152542,1.968925256749648,0.33682222134981965
66,6.9,2.5,7.5,5.1,2.0,Moderate,Female,7.65,>= 7 hours,16.5,0.3090909090909091,0.92,0.2898550724637681,2.295466546623293,0.3034471707882006
67,8.3,0.7,5.4,3.9,5.7,High,Female,8.15,< 7 hours,18.6,0.2096774193548387,1.537037037037037,0.6867469879518072,3.193221988316294,0.23848010021561733
68,9.7,2.3,6.9,3.3,1.8,High,Male,8.45,< 7 hours,17.1,0.19298245614035084,1.4057971014492752,0.18556701030927836,3.6700363304287147,0.21413109647226208
69,7.3,2.2,9.7,1.9,2.9,Moderate,Female,7.88,>= 7 hours,14.3,0.13286713286713286,0.7525773195876289,0.3972602739726027,2.5184320518926055,0.2842175108830334
70,5.4,1.3,9.2,0.1,8.0,Low,Female,6.72,>= 7 hours,14.8,0.006756756756756757,0.5869565217391305,1.4814814814814814,3.65604522218567,0.21477454626838308
71,9.1,1.1,5.6,4.2,4.0,High,Female,8.85,< 7 hours,18.4,0.2282608695652174,1.625,0.43956043956043955,3.3176296759383295,0.23160856188590906
72,8.7,3.2,6.4,1.0,4.7,High,Female,8.43,< 7 hours,17.599999999999998,0.05681818181818182,1.3593749999999998,0.5402298850574714,3.2444824959716865,0.2355999820824024
73,8.8,3.2,10.0,0.8,1.2,High,Male,8.95,>= 7 hours,14.0,0.05714285714285715,0.8800000000000001,0.13636363636363635,3.6860095858077564,0.21340118531311622
74,6.7,3.7,9.3,1.8,2.5,Moderate,Female,7.22,>= 7 hours,14.700000000000001,0.12244897959183673,0.7204301075268816,0.3731343283582089,2.1639085008382404,0.31606476601174205
75,8.8,3.0,5.5,5.4,1.3,High,Male,8.95,< 7 hours,18.500000000000004,0.29189189189189185,1.6,0.1477272727272727,3.2520506351121496,0.23518064242751532
76,6.6,3.6,6.9,0.1,6.8,Moderate,Female,7.48,< 7 hours,17.099999999999998,0.00584795321637427,0.9565217391304347,1.0303030303030303,3.1447045436203807,0.24127172141599856
77,9.5,0.4,6.6,5.7,1.8,High,Female,8.6,< 7 hours,17.400000000000002,0.3275862068965517,1.4393939393939394,0.18947368421052632,4.100812927538474,0.19604718193077808
78,8.2,1.8,6.5,2.0,5.5,High,Female,8.38,< 7 hours,17.5,0.11428571428571428,1.2615384615384615,0.6707317073170732,3.0641747121642178,0.24605241428400332
79,8.4,3.0,9.0,2.8,0.8,High,Male,8.15,>= 7 hours,15.0,0.18666666666666665,0.9333333333333333,0.09523809523809523,3.25525216637155,0.23500369917035943
80,5.3,2.2,7.2,5.3,4.0,Low,Female,6.55,>= 7 hours,16.8,0.31547619047619047,0.736111111111111,0.7547169811320755,1.4674240468703423,0.4052809654945167
81,6.8,0.5,5.7,4.6,6.4,High,Male,7.15,< 7 hours,18.299999999999997,0.25136612021857924,1.1929824561403508,0.9411764705882354,2.8802488318430637,0.2577154309779185
82,5.4,2.8,5.4,4.9,5.5,High,Female,7.15,< 7 hours,18.6,0.26344086021505375,1.0,1.0185185185185184,1.2609520212918495,0.44229156151160864
83,8.5,0.3,5.4,5.9,3.9,High,Male,7.48,< 7 hours,18.6,0.3172043010752688,1.574074074074074,0.4588235294117647,3.457841330464235,0.22432382085161856
84,9.1,3.8,9.9,0.9,0.3,High,Female,7.7,>= 7 hours,14.1,0.06382978723404256,0.9191919191919191,0.03296703296703297,4.018602576352464,0.19925865513080798
85,6.9,0.3,8.9,3.4,4.5,Moderate,Male,8.02,>= 7 hours,15.1,0.2251655629139073,0.7752808988764045,0.6521739130434783,2.7390691849604676,0.2674462414395183
86,5.6,2.0,5.1,2.8,8.5,High,Male,7.02,< 7 hours,18.9,0.14814814814814814,1.0980392156862746,1.517857142857143,2.952259022059774,0.25301985381485353
87,5.3,0.5,5.6,3.9,8.7,High,Female,7.25,< 7 hours,18.4,0.21195652173913046,0.9464285714285715,1.641509433962264,3.396076167186674,0.22747558549240582
88,9.8,1.5,6.4,5.2,1.1,High,Male,9.45,< 7 hours,17.6,0.2954545454545454,1.53125,0.11224489795918367,4.045573712919674,0.19819351710974006
89,6.1,3.9,5.1,5.8,3.1,High,Female,7.4,< 7 hours,18.900000000000002,0.30687830687830686,1.196078431372549,0.5081967213114754,1.4568802284333462,0.40702024804752485
90,5.4,2.2,9.8,3.1,3.5,Low,Female,7.02,>= 7 hours,14.200000000000001,0.21830985915492956,0.5510204081632653,0.6481481481481481,1.3478377746103822,0.4259238056453655
91,8.1,2.8,7.3,3.6,2.2,High,Female,8.48,>= 7 hours,16.7,0.2155688622754491,1.1095890410958904,0.271604938271605,2.6787745954696027,0.27182964708723834
92,5.2,1.1,9.8,5.3,2.6,Low,Female,7.05,>= 7 hours,14.200000000000001,0.37323943661971826,0.5306122448979592,0.5,2.056696380120313,0.32715058208059233
93,7.3,2.5,6.4,1.1,6.7,Moderate,Female,6.68,< 7 hours,17.6,0.0625,1.140625,0.9178082191780822,3.0659419433511785,0.2459454694465688
94,7.9,0.3,9.9,5.8,0.1,Moderate,Female,7.7,>= 7 hours,14.1,0.41134751773049644,0.797979797979798,0.012658227848101266,3.9347808071098442,0.2026432457869736
95,8.5,2.1,6.5,4.9,2.0,High,Female,7.75,< 7 hours,17.5,0.28,1.3076923076923077,0.23529411764705882,3.06090945090943,0.24625025799973274
96,9.6,3.3,9.7,1.0,0.4,High,Female,8.85,>= 7 hours,14.299999999999999,0.06993006993006994,0.9896907216494846,0.04166666666666667,4.206641574145976,0.1920623852745281
97,8.1,1.7,9.7,3.9,0.6,High,Female,8.62,>= 7 hours,14.299999999999999,0.27272727272727276,0.8350515463917526,0.07407407407407407,3.3139855159611065,0.23180420896179377
98,9.9,0.6,8.0,2.1,3.4,High,Female,8.48,>= 7 hours,16.0,0.13125,1.2375,0.3434343434343434,4.096339829652808,0.19621925409713617
99,9.8,3.4,9.2,0.7,0.9,High,Female,7.88,>= 7 hours,14.8,0.04729729729729729,1.065217391304348,0.09183673469387754,4.248136846508911,0.19054381187967792
100,5.3,3.5,9.1,6.0,0.1,Low,Male,6.7,>= 7 hours,14.9,0.40268456375838924,0.5824175824175825,0.01886792452830189,2.636127209879422,0.2750178809154373
101,10.0,2.2,8.8,2.8,0.2,High,Male,8.52,>= 7 hours,15.2,0.18421052631578946,1.1363636363636362,0.02,4.280186911806539,0.18938723509275632
102,7.3,0.5,9.8,3.6,2.8,Moderate,Female,8.05,>= 7 hours,14.2,0.2535211267605634,0.7448979591836734,0.3835616438356164,2.824299323136035,0.2614858083807026
103,6.1,2.7,8.1,2.1,5.0,Moderate,Female,7.45,>= 7 hours,15.9,0.1320754716981132,0.7530864197530864,0.819672131147541,1.8892238265135939,0.3461137177477499
104,7.6,3.1,7.6,4.9,0.8,Moderate,Female,7.48,>= 7 hours,16.4,0.2987804878048781,1.0,0.10526315789473685,2.874021572639983,0.2581296932010996
105,7.8,2.2,9.4,1.9,2.7,Moderate,Female,8.25,>= 7 hours,14.600000000000001,0.13013698630136986,0.8297872340425532,0.3461538461538462,2.7862758896658693,0.2641117628880044
106,8.5,0.9,5.7,0.1,8.8,High,Female,8.88,< 7 hours,18.3,0.00546448087431694,1.4912280701754386,1.035294117647059,4.718315377335433,0.17487667853429426
107,6.8,2.4,7.0,2.6,5.2,Moderate,Female,7.42,>= 7 hours,17.0,0.15294117647058825,0.9714285714285714,0.7647058823529412,2.1252450839060106,0.31997490537611684
108,7.6,3.1,7.0,3.7,2.6,Moderate,Female,8.2,>= 7 hours,17.0,0.21764705882352942,1.0857142857142856,0.34210526315789475,2.2781571499789033,0.3050494391357765
109,9.3,3.8,5.7,4.8,0.4,High,Female,7.62,< 7 hours,18.3,0.2622950819672131,1.631578947368421,0.04301075268817204,3.670036330428715,0.21413109647226208
110,7.3,3.9,7.5,1.7,3.6,Moderate,Male,7.7,>= 7 hours,16.5,0.10303030303030303,0.9733333333333333,0.4931506849315069,2.3300572239038826,0.30029513992185486
111,8.2,1.0,5.4,0.8,8.6,High,Female,8.25,< 7 hours,18.6,0.04301075268817204,1.5185185185185184,1.048780487804878,4.333974311568232,0.18747746831686404
112,5.9,1.4,9.5,2.8,4.4,Low,Male,6.75,>= 7 hours,14.500000000000002,0.19310344827586204,0.6210526315789474,0.7457627118644068,1.9500000000000002,0.3389830508474576
113,8.3,0.7,6.0,0.2,8.8,High,Female,7.85,< 7 hours,18.0,0.011111111111111112,1.3833333333333335,1.0602409638554218,4.685438435550438,0.17588793042716055
114,5.9,0.4,5.6,2.8,9.3,High,Female,6.82,< 7 hours,18.400000000000002,0.15217391304347824,1.0535714285714286,1.576271186440678,3.858324334042781,0.20583228521671487
115,6.0,1.5,7.5,4.1,4.9,Moderate,Male,6.9,>= 7 hours,16.5,0.24848484848484848,0.8,0.8166666666666668,1.9155068954891985,0.3429935293746606
116,9.4,3.7,5.3,1.6,4.0,High,Female,8.62,< 7 hours,18.700000000000003,0.0855614973262032,1.7735849056603774,0.425531914893617,3.3260336739125176,0.23115862597888376
117,9.0,3.0,5.9,1.3,4.8,High,Male,8.22,< 7 hours,18.1,0.0718232044198895,1.5254237288135593,0.5333333333333333,3.3079449814046185,0.23212924127780918
118,8.1,1.5,7.3,4.5,2.6,High,Female,6.88,>= 7 hours,16.7,0.2694610778443114,1.1095890410958904,0.3209876543209877,2.895254738360685,0.2567226194867166
119,5.2,1.0,8.6,5.4,3.8,Low,Female,8.5,>= 7 hours,15.400000000000002,0.3506493506493506,0.6046511627906977,0.7307692307692307,2.0289570391377603,0.3301466435736129
120,5.5,1.8,7.7,1.5,7.5,Low,Male,7.62,>= 7 hours,16.3,0.09202453987730061,0.7142857142857143,1.3636363636363635,2.919332115399,0.2551455121833167
121,6.3,1.5,5.1,1.9,9.2,High,Female,7.05,< 7 hours,18.9,0.10052910052910054,1.2352941176470589,1.4603174603174602,3.6917701264659835,0.21313917200654445
122,5.6,3.6,8.0,4.1,2.7,Low,Male,6.55,>= 7 hours,16.0,0.25625,0.7,0.4821428571428572,1.213809430402208,0.4517100642300176
123,8.9,2.0,5.4,3.2,4.5,High,Female,9.1,< 7 hours,18.6,0.17204301075268816,1.6481481481481481,0.5056179775280899,3.0116440692751194,0.24927435802665668
124,7.2,0.5,6.4,2.2,7.7,Moderate,Male,7.98,< 7 hours,17.6,0.125,1.125,1.0694444444444444,3.595367389665021,0.21761045749007998
125,8.2,2.3,6.8,5.9,0.8,High,Male,7.38,< 7 hours,17.2,0.34302325581395354,1.2058823529411764,0.09756097560975611,3.367491648096547,0.22896437602481118
126,5.5,0.6,6.2,1.0,10.7,Low,Female,7.35,< 7 hours,17.799999999999997,0.05617977528089889,0.8870967741935484,1.9454545454545453,4.721934631765529,0.17476606503829378
127,5.9,1.1,5.9,5.4,5.7,High,Female,7.22,< 7 hours,18.1,0.2983425414364641,1.0,0.9661016949152542,2.2925604317734645,0.3037150025706202
128,7.1,3.9,5.6,2.4,5.0,High,Male,7.25,< 7 hours,18.4,0.13043478260869565,1.2678571428571428,0.7042253521126761,1.9782146833277052,0.3357716304328508
129,9.8,3.5,9.1,0.4,1.2,High,Female,8.93,>= 7 hours,14.9,0.026845637583892617,1.076923076923077,0.12244897959183672,4.257835913544188,0.19019231798847117
130,9.6,2.2,7.9,1.2,3.1,High,Female,8.1,>= 7 hours,16.1,0.07453416149068322,1.2151898734177213,0.3229166666666667,3.796818843891993,0.20847149591095052
131,8.8,0.7,6.6,2.6,5.3,High,Female,7.48,< 7 hours,17.4,0.14942528735632185,1.3333333333333335,0.6022727272727272,3.516153201061259,0.2214273864236953
132,5.6,2.4,6.4,3.5,6.1,Low,Male,7.12,< 7 hours,17.6,0.19886363636363635,0.8749999999999999,1.0892857142857142,1.7454703282114727,0.36423631671570333
133,5.8,1.9,7.7,0.3,8.3,Low,Male,6.75,>= 7 hours,16.3,0.01840490797546012,0.7532467532467532,1.4310344827586208,3.6426867373776006,0.21539252087571287
134,5.3,4.0,6.6,4.9,3.2,Low,Male,6.8,< 7 hours,17.400000000000002,0.28160919540229884,0.8030303030303031,0.6037735849056605,0.9398581453247788,0.5155016115018946
135,6.3,2.7,8.8,3.6,2.6,Moderate,Male,6.12,>= 7 hours,15.2,0.2368421052631579,0.7159090909090908,0.41269841269841273,1.7262676501632066,0.36680184351677114
136,6.7,3.7,9.2,4.2,0.2,Moderate,Male,7.12,>= 7 hours,14.8,0.28378378378378377,0.7282608695652175,0.029850746268656716,2.6770630673681683,0.27195617308673004
137,5.6,2.9,9.7,1.1,4.7,Low,Male,7.15,>= 7 hours,14.3,0.07692307692307693,0.577319587628866,0.8392857142857144,1.9956202043475104,0.3338206888005065
138,7.9,3.4,5.7,4.8,2.2,High,Male,7.88,< 7 hours,18.3,0.2622950819672131,1.3859649122807018,0.27848101265822783,2.458149710656371,0.2891719802987349
139,6.0,0.7,5.8,4.9,6.6,High,Male,7.4,< 7 hours,18.200000000000003,0.2692307692307692,1.0344827586206897,1.0999999999999999,2.661453237111885,0.2731156006211318
140,6.8,3.5,7.0,4.9,1.8,Moderate,Male,8.6,>= 7 hours,17.0,0.2882352941176471,0.9714285714285714,0.2647058823529412,2.12053452380919,0.3204579191065366
141,7.2,1.5,7.3,1.8,6.2,Moderate,Female,7.7,>= 7 hours,16.7,0.10778443113772455,0.9863013698630138,0.8611111111111112,2.9466082196315138,0.2533821307688271
142,6.2,3.6,6.9,3.3,4.0,Moderate,Male,8.18,< 7 hours,17.1,0.19298245614035084,0.8985507246376812,0.6451612903225806,1.3149778198382918,0.4319695814925143
143,9.5,2.5,5.6,5.6,0.8,High,Female,7.82,< 7 hours,18.400000000000002,0.3043478260869565,1.6964285714285716,0.08421052631578947,3.823610858861032,0.2073135726036
144,5.7,3.2,8.1,3.2,3.8,Low,Female,7.7,>= 7 hours,15.900000000000002,0.2012578616352201,0.7037037037037037,0.6666666666666666,1.1842719282327012,0.45781845523652454
145,9.5,3.2,5.8,1.7,3.8,High,Female,8.98,< 7 hours,18.2,0.09340659340659341,1.6379310344827587,0.39999999999999997,3.4161381705077445,0.2264421903006321
146,5.2,2.3,8.8,5.3,2.4,Low,Male,6.52,>= 7 hours,15.200000000000001,0.34868421052631576,0.5909090909090908,0.4615384615384615,1.6753109164172084,0.37378833012022605
147,6.7,3.3,5.6,5.1,3.3,High,Male,7.38,< 7 hours,18.4,0.27717391304347827,1.1964285714285716,0.4925373134328358,1.6370705543744901,0.37920866331814884
148,9.0,0.6,6.1,4.3,4.0,High,Male,7.88,< 7 hours,17.9,0.24022346368715083,1.4754098360655739,0.4444444444444444,3.4519318262870335,0.2246215887887961
149,8.6,2.6,8.5,2.3,2.0,High,Male,7.85,>= 7 hours,15.5,0.14838709677419354,1.011764705882353,0.23255813953488372,3.1595094555959156,0.24041296471983478
150,5.9,3.6,7.9,2.4,4.2,Low,Female,6.6,>= 7 hours,16.1,0.14906832298136644,0.7468354430379747,0.711864406779661,1.4568802284333466,0.4070202480475247
151,7.3,3.8,5.8,3.5,3.6,High,Male,8.95,< 7 hours,18.2,0.19230769230769232,1.2586206896551724,0.4931506849315069,1.837570860311696,0.35241410672301376
152,5.1,3.5,9.7,3.2,2.5,Low,Male,6.98,>= 7 hours,14.3,0.22377622377622378,0.5257731958762887,0.4901960784313726,1.0996211468804455,0.47627639942842553
153,8.5,3.7,8.5,0.5,2.8,High,Male,9.12,>= 7 hours,15.5,0.03225806451612903,1.0,0.32941176470588235,3.364892271678248,0.229100728668273
154,7.1,2.9,9.7,4.0,0.3,Moderate,Male,8.32,>= 7 hours,14.3,0.2797202797202797,0.731958762886598,0.04225352112676056,2.8158776015066183,0.2620629130256094
155,7.3,0.5,9.9,5.0,1.3,Moderate,Male,7.78,>= 7 hours,14.100000000000001,0.35460992907801414,0.7373737373737373,0.17808219178082194,3.1899582024429933,0.23866586531028902
